world_cup_year,host_country,team,max_stage,max_stage_numeric,matches_played,matches_won,goals_for,goals_against
2002,Korea/Japan,Mexico,Round of 16,2.0,4.0,2.0,4,4
2006,Germany,Mexico,Round of 16,2.0,4.0,1.0,5,5
2010,South Africa,Mexico,Round of 16,2.0,4.0,1.0,4,5
2014,Brazil,Mexico,Round of 16,2.0,4.0,2.0,5,3
2018,Russia,Mexico,Round of 16,2.0,4.0,2.0,3,6
1986,Mexico,Morocco,Round of 16,2.0,4.0,1.0,3,2
1990,Italy,Morocco,Did not qualify,0.0,0.0,0.0,0,0
1994,USA,Morocco,Group stage,1.0,3.0,0.0,2,5
1998,France,Morocco,Group stage,1.0,3.0,1.0,5,5
2002,Korea/Japan,Morocco,Did not qualify,0.0,0.0,0.0,0,0
2006,Germany,Morocco,Did not qualify,0.0,0.0,0.0,0,0
2010,South Africa,Morocco,Did not qualify,0.0,0.0,0.0,0,0
2014,Brazil,Morocco,Did not qualify,0.0,0.0,0.0,0,0
2018,Russia,Morocco,Group stage,1.0,3.0,0.0,2,4
1986,Mexico,Netherlands,Did not qualify,0.0,0.0,0.0,0,0
1990,Italy,Netherlands,Round of 16,2.0,4.0,0.0,3,4
1994,USA,Netherlands,Quarter-finals,3.0,5.0,3.0,8,6
1998,France,Netherlands,Fourth place,4.0,7.0,3.0,13,7
2002,Korea/Japan,Netherlands,Did not qualify,0.0,0.0,0.0,0,0
2006,Germany,Netherlands,Round of 16,2.0,4.0,2.0,3,2
2010,South Africa,Netherlands,Runners-up,6.0,7.0,6.0,12,6
2014,Brazil,Netherlands,Third place,5.0,7.0,6.0,15,4
2018,Russia,Netherlands,Did not qualify,0.0,0.0,0.0,0,0
1986,Mexico,New Zealand,Did not qualify,0.0,0.0,0.0,0,0
1990,Italy,New Zealand,Did not qualify,0.0,0.0,0.0,0,0
1994,USA,New Zealand,Did not qualify,0.0,0.0,0.0,0,0
1998,France,New Zealand,Did not qualify,0.0,0.0,0.0,0,0
2002,Korea/Japan,New Zealand,Did not qualify,0.0,0.0,0.0,0,0
2006,Germany,New Zealand,Did not qualify,0.0,0.0,0.0,0,0
2010,South Africa,New Zealand,Group stage,1.0,3.0,0.0,2,2
2014,Brazil,New Zealand,Did not qualify,0.0,0.0,0.0,0,0
2018,Russia,New Zealand,Did not qualify,0.0,0.0,0.0,0,0
1986,Mexico,Nigeria,Did not qualify,0.0,0.0,0.0,0,0
1990,Italy,Nigeria,Did not qualify,0.0,0.0,0.0,0,0
1994,USA,Nigeria,Round of 16,2.0,4.0,2.0,7,4
1998,France,Nigeria,Round of 16,2.0,4.0,2.0,6,9
2002,Korea/Japan,Nigeria,Group stage,1.0,3.0,0.0,1,3
2006,Germany,Nigeria,Did not qualify,0.0,0.0,0.0,0,0
2010,South Africa,Nigeria,Group stage,1.0,3.0,0.0,3,5
2014,Brazil,Nigeria,Round of 16,2.0,4.0,1.0,3,5
2018,Russia,Nigeria,Group stage,1.0,3.0,1.0,3,4
1986,Mexico,North Korea,Did not qualify,0.0,0.0,0.0,0,0
1990,Italy,North Korea,Did not qualify,0.0,0.0,0.0,0,0
1994,USA,North Korea,Did not qualify,0.0,0.0,0.0,0,0
1998,France,North Korea,Did not qualify,0.0,0.0,0.0,0,0
2002,Korea/Japan,North Korea,Did not qualify,0.0,0.0,0.0,0,0
2006,Germany,North Korea,Did not qualify,0.0,0.0,0.0,0,0
2010,South Africa,North Korea,Group stage,1.0,3.0,0.0,1,12
2014,Brazil,North Korea,Did not qualify,0.0,0.0,0.0,0,0
2018,Russia,North Korea,Did not qualify,0.0,0.0,0.0,0,0
1986,Mexico,Northern Ireland,Group stage,1.0,3.0,0.0,2,6
1990,Italy,Northern Ireland,Did not qualify,0.0,0.0,0.0,0,0
1994,USA,Northern Ireland,Did not qualify,0.0,0.0,0.0,0,0
1998,France,Northern Ireland,Did not qualify,0.0,0.0,0.0,0,0
2002,Korea/Japan,Northern Ireland,Did not qualify,0.0,0.0,0.0,0,0
2006,Germany,Northern Ireland,Did not qualify,0.0,0.0,0.0,0,0
2010,South Africa,Northern Ireland,Did not qualify,0.0,0.0,0.0,0,0
2014,Brazil,Northern Ireland,Did not qualify,0.0,0.0,0.0,0,0
2018,Russia,Northern Ireland,Did not qualify,0.0,0.0,0.0,0,0
1986,Mexico,Norway,Did not qualify,0.0,0.0,0.0,0,0
1990,Italy,Norway,Did not qualify,0.0,0.0,0.0,0,0
1994,USA,Norway,Group stage,1.0,3.0,1.0,1,1
1998,France,Norway,Round of 16,2.0,4.0,1.0,5,5
2002,Korea/Japan,Norway,Did not qualify,0.0,0.0,0.0,0,0
2006,Germany,Norway,Did not qualify,0.0,0.0,0.0,0,0
2010,South Africa,Norway,Did not qualify,0.0,0.0,0.0,0,0
2014,Brazil,Norway,Did not qualify,0.0,0.0,0.0,0,0
2018,Russia,Norway,Did not qualify,0.0,0.0,0.0,0,0
1986,Mexico,Panama,Did not qualify,0.0,0.0,0.0,0,0
1990,Italy,Panama,Did not qualify,0.0,0.0,0.0,0,0
1994,USA,Panama,Did not qualify,0.0,0.0,0.0,0,0
1998,France,Panama,Did not qualify,0.0,0.0,0.0,0,0
2002,Korea/Japan,Panama,Did not qualify,0.0,0.0,0.0,0,0
2006,Germany,Panama,Did not qualify,0.0,0.0,0.0,0,0
2010,South Africa,Panama,Did not qualify,0.0,0.0,0.0,0,0
2014,Brazil,Panama,Did not qualify,0.0,0.0,0.0,0,0
2018,Russia,Panama,Group stage,1.0,3.0,0.0,2,11
1986,Mexico,Paraguay,Round of 16,2.0,4.0,1.0,4,6
1990,Italy,Paraguay,Did not qualify,0.0,0.0,0.0,0,0
1994,USA,Paraguay,Did not qualify,0.0,0.0,0.0,0,0
1998,France,Paraguay,Round of 16,2.0,4.0,1.0,3,2
2002,Korea/Japan,Paraguay,Round of 16,2.0,4.0,1.0,6,7
2006,Germany,Paraguay,Group stage,1.0,3.0,1.0,2,2
2010,South Africa,Paraguay,Quarter-finals,3.0,5.0,2.0,3,2
2014,Brazil,Paraguay,Did not qualify,0.0,0.0,0.0,0,0
2018,Russia,Paraguay,Did not qualify,0.0,0.0,0.0,0,0
1986,Mexico,Peru,Did not qualify,0.0,0.0,0.0,0,0
1990,Italy,Peru,Did not qualify,0.0,0.0,0.0,0,0
1994,USA,Peru,Did not qualify,0.0,0.0,0.0,0,0
1998,France,Peru,Did not qualify,0.0,0.0,0.0,0,0
2002,Korea/Japan,Peru,Did not qualify,0.0,0.0,0.0,0,0
2006,Germany,Peru,Did not qualify,0.0,0.0,0.0,0,0
2010,South Africa,Peru,Did not qualify,0.0,0.0,0.0,0,0
2014,Brazil,Peru,Did not qualify,0.0,0.0,0.0,0,0
2018,Russia,Peru,Group stage,1.0,3.0,1.0,2,2
1986,Mexico,Poland,Round of 16,2.0,4.0,1.0,1,7
1990,Italy,Poland,Did not qualify,0.0,0.0,0.0,0,0
1994,USA,Poland,Did not qualify,0.0,0.0,0.0,0,0
1998,France,Poland,Did not qualify,0.0,0.0,0.0,0,0
2002,Korea/Japan,Poland,Group stage,1.0,3.0,1.0,3,7
2006,Germany,Poland,Group stage,1.0,3.0,1.0,2,4
2010,South Africa,Poland,Did not qualify,0.0,0.0,0.0,0,0
2014,Brazil,Poland,Did not qualify,0.0,0.0,0.0,0,0
2018,Russia,Poland,Group stage,1.0,3.0,1.0,2,5
1986,Mexico,Portugal,Group stage,1.0,3.0,1.0,2,4
1990,Italy,Portugal,Did not qualify,0.0,0.0,0.0,0,0
1994,USA,Portugal,Did not qualify,0.0,0.0,0.0,0,0
1998,France,Portugal,Did not qualify,0.0,0.0,0.0,0,0
2002,Korea/Japan,Portugal,Group stage,1.0,3.0,1.0,6,4
2006,Germany,Portugal,Fourth place,4.0,7.0,5.0,7,5
2010,South Africa,Portugal,Round of 16,2.0,4.0,1.0,7,1
2014,Brazil,Portugal,Group stage,1.0,3.0,1.0,4,7
2018,Russia,Portugal,Round of 16,2.0,4.0,1.0,6,6
1986,Mexico,Republic of Ireland,Did not qualify,0.0,0.0,0.0,0,0
1990,Italy,Republic of Ireland,Quarter-finals,3.0,5.0,0.0,2,3
1994,USA,Republic of Ireland,Round of 16,2.0,4.0,1.0,2,4
1998,France,Republic of Ireland,Did not qualify,0.0,0.0,0.0,0,0
2002,Korea/Japan,Republic of Ireland,Round of 16,2.0,4.0,1.0,6,3
2006,Germany,Republic of Ireland,Did not qualify,0.0,0.0,0.0,0,0
2010,South Africa,Republic of Ireland,Did not qualify,0.0,0.0,0.0,0,0
2014,Brazil,Republic of Ireland,Did not qualify,0.0,0.0,0.0,0,0
2018,Russia,Republic of Ireland,Did not qualify,0.0,0.0,0.0,0,0
1986,Mexico,Romania,Did not qualify,0.0,0.0,0.0,0,0
1990,Italy,Romania,Round of 16,2.0,4.0,1.0,4,3
1994,USA,Romania,Quarter-finals,3.0,5.0,3.0,10,9
1998,France,Romania,Round of 16,2.0,4.0,2.0,4,3
2002,Korea/Japan,Romania,Did not qualify,0.0,0.0,0.0,0,0
2006,Germany,Romania,Did not qualify,0.0,0.0,0.0,0,0
2010,South Africa,Romania,Did not qualify,0.0,0.0,0.0,0,0
2014,Brazil,Romania,Did not qualify,0.0,0.0,0.0,0,0
2018,Russia,Romania,Did not qualify,0.0,0.0,0.0,0,0
1986,Mexico,Russia,Round of 16,2.0,4.0,2.0,12,5
1990,Italy,Russia,Group stage,1.0,3.0,1.0,4,4
1994,USA,Russia,Group stage,1.0,3.0,1.0,7,6
1998,France,Russia,Did not qualify,0.0,0.0,0.0,0,0
2002,Korea/Japan,Russia,Group stage,1.0,3.0,1.0,4,4
2006,Germany,Russia,Did not qualify,0.0,0.0,0.0,0,0
2010,South Africa,Russia,Did not qualify,0.0,0.0,0.0,0,0
2014,Brazil,Russia,Group stage,1.0,3.0,0.0,2,3
2018,Russia,Russia,Quarter-finals,3.0,5.0,3.0,11,7
1986,Mexico,Saudi Arabia,Did not qualify,0.0,0.0,0.0,0,0
1990,Italy,Saudi Arabia,Did not qualify,0.0,0.0,0.0,0,0
1994,USA,Saudi Arabia,Round of 16,2.0,4.0,2.0,5,6
1998,France,Saudi Arabia,Group stage,1.0,3.0,0.0,2,7
2002,Korea/Japan,Saudi Arabia,Group stage,1.0,3.0,0.0,0,12
2006,Germany,Saudi Arabia,Group stage,1.0,3.0,0.0,2,7
2010,South Africa,Saudi Arabia,Did not qualify,0.0,0.0,0.0,0,0
2014,Brazil,Saudi Arabia,Did not qualify,0.0,0.0,0.0,0,0
2018,Russia,Saudi Arabia,Group stage,1.0,3.0,1.0,2,7
1986,Mexico,Scotland,Group stage,1.0,3.0,0.0,1,3
1990,Italy,Scotland,Group stage,1.0,3.0,1.0,2,3
1994,USA,Scotland,Did not qualify,0.0,0.0,0.0,0,0
1998,France,Scotland,Group stage,1.0,3.0,0.0,2,6
2002,Korea/Japan,Scotland,Did not qualify,0.0,0.0,0.0,0,0
2006,Germany,Scotland,Did not qualify,0.0,0.0,0.0,0,0
2010,South Africa,Scotland,Did not qualify,0.0,0.0,0.0,0,0
2014,Brazil,Scotland,Did not qualify,0.0,0.0,0.0,0,0
2018,Russia,Scotland,Did not qualify,0.0,0.0,0.0,0,0
1986,Mexico,Senegal,Did not qualify,0.0,0.0,0.0,0,0
1990,Italy,Senegal,Did not qualify,0.0,0.0,0.0,0,0
1994,USA,Senegal,Did not qualify,0.0,0.0,0.0,0,0
1998,France,Senegal,Did not qualify,0.0,0.0,0.0,0,0
2002,Korea/Japan,Senegal,Quarter-finals,3.0,5.0,2.0,7,6
2006,Germany,Senegal,Did not qualify,0.0,0.0,0.0,0,0
2010,South Africa,Senegal,Did not qualify,0.0,0.0,0.0,0,0
2014,Brazil,Senegal,Did not qualify,0.0,0.0,0.0,0,0
2018,Russia,Senegal,Group stage,1.0,3.0,1.0,4,4
1986,Mexico,Serbia,Did not qualify,0.0,0.0,0.0,0,0
1990,Italy,Serbia,Did not qualify,0.0,0.0,0.0,0,0
1994,USA,Serbia,Did not qualify,0.0,0.0,0.0,0,0
1998,France,Serbia,Did not qualify,0.0,0.0,0.0,0,0
2002,Korea/Japan,Serbia,Did not qualify,0.0,0.0,0.0,0,0
2006,Germany,Serbia,Group stage,1.0,3.0,0.0,2,10
2010,South Africa,Serbia,Group stage,1.0,3.0,1.0,2,3
2014,Brazil,Serbia,Did not qualify,0.0,0.0,0.0,0,0
2018,Russia,Serbia,Group stage,1.0,3.0,1.0,2,4
1986,Mexico,Slovakia,Did not qualify,0.0,0.0,0.0,0,0
1990,Italy,Slovakia,Did not qualify,0.0,0.0,0.0,0,0
1994,USA,Slovakia,Did not qualify,0.0,0.0,0.0,0,0
1998,France,Slovakia,Did not qualify,0.0,0.0,0.0,0,0
2002,Korea/Japan,Slovakia,Did not qualify,0.0,0.0,0.0,0,0
2006,Germany,Slovakia,Did not qualify,0.0,0.0,0.0,0,0
2010,South Africa,Slovakia,Round of 16,2.0,4.0,1.0,5,7
2014,Brazil,Slovakia,Did not qualify,0.0,0.0,0.0,0,0
2018,Russia,Slovakia,Did not qualify,0.0,0.0,0.0,0,0
1986,Mexico,Slovenia,Did not qualify,0.0,0.0,0.0,0,0
1990,Italy,Slovenia,Did not qualify,0.0,0.0,0.0,0,0
1994,USA,Slovenia,Did not qualify,0.0,0.0,0.0,0,0
1998,France,Slovenia,Did not qualify,0.0,0.0,0.0,0,0
2002,Korea/Japan,Slovenia,Group stage,1.0,3.0,0.0,2,7
2006,Germany,Slovenia,Did not qualify,0.0,0.0,0.0,0,0
2010,South Africa,Slovenia,Group stage,1.0,3.0,1.0,3,3
2014,Brazil,Slovenia,Did not qualify,0.0,0.0,0.0,0,0
2018,Russia,Slovenia,Did not qualify,0.0,0.0,0.0,0,0
1986,Mexico,South Africa,Did not qualify,0.0,0.0,0.0,0,0
1990,Italy,South Africa,Did not qualify,0.0,0.0,0.0,0,0
1994,USA,South Africa,Did not qualify,0.0,0.0,0.0,0,0
1998,France,South Africa,Group stage,1.0,3.0,0.0,3,6
2002,Korea/Japan,South Africa,Group stage,1.0,3.0,1.0,5,5
2006,Germany,South Africa,Did not qualify,0.0,0.0,0.0,0,0
2010,South Africa,South Africa,Group stage,1.0,3.0,1.0,3,5
2014,Brazil,South Africa,Did not qualify,0.0,0.0,0.0,0,0
2018,Russia,South Africa,Did not qualify,0.0,0.0,0.0,0,0
1986,Mexico,South Korea,Group stage,1.0,3.0,0.0,4,7
1990,Italy,South Korea,Group stage,1.0,3.0,0.0,1,6
1994,USA,South Korea,Group stage,1.0,3.0,0.0,4,5
1998,France,South Korea,Group stage,1.0,3.0,0.0,2,9
2002,Korea/Japan,South Korea,Fourth place,4.0,7.0,3.0,8,6
2006,Germany,South Korea,Group stage,1.0,3.0,1.0,3,4
2010,South Africa,South Korea,Round of 16,2.0,4.0,1.0,6,8
2014,Brazil,South Korea,Group stage,1.0,3.0,0.0,3,6
2018,Russia,South Korea,Group stage,1.0,3.0,1.0,3,3
1986,Mexico,Spain,Quarter-finals,3.0,5.0,3.0,11,4
1990,Italy,Spain,Round of 16,2.0,4.0,2.0,6,4
1994,USA,Spain,Quarter-finals,3.0,5.0,2.0,10,6
1998,France,Spain,Group stage,1.0,3.0,1.0,8,4
2002,Korea/Japan,Spain,Quarter-finals,3.0,5.0,4.0,10,5
2006,Germany,Spain,Round of 16,2.0,4.0,3.0,9,4
2010,South Africa,Spain,Winner,7.0,7.0,6.0,8,2
2014,Brazil,Spain,Group stage,1.0,3.0,1.0,4,7
2018,Russia,Spain,Round of 16,2.0,4.0,1.0,7,6
1986,Mexico,Sweden,Did not qualify,0.0,0.0,0.0,0,0
1990,Italy,Sweden,Group stage,1.0,3.0,0.0,3,6
1994,USA,Sweden,Third place,5.0,7.0,4.0,15,8
1998,France,Sweden,Did not qualify,0.0,0.0,0.0,0,0
2002,Korea/Japan,Sweden,Round of 16,2.0,4.0,1.0,5,5
2006,Germany,Sweden,Round of 16,2.0,4.0,1.0,3,4
2010,South Africa,Sweden,Did not qualify,0.0,0.0,0.0,0,0
2014,Brazil,Sweden,Did not qualify,0.0,0.0,0.0,0,0
2018,Russia,Sweden,Quarter-finals,3.0,5.0,3.0,6,4
1986,Mexico,Switzerland,Did not qualify,0.0,0.0,0.0,0,0
1990,Italy,Switzerland,Did not qualify,0.0,0.0,0.0,0,0
1994,USA,Switzerland,Round of 16,2.0,4.0,1.0,5,7
1998,France,Switzerland,Did not qualify,0.0,0.0,0.0,0,0
2002,Korea/Japan,Switzerland,Did not qualify,0.0,0.0,0.0,0,0
2006,Germany,Switzerland,Round of 16,2.0,4.0,2.0,4,0
2010,South Africa,Switzerland,Group stage,1.0,3.0,1.0,1,1
2014,Brazil,Switzerland,Round of 16,2.0,4.0,2.0,7,7
2018,Russia,Switzerland,Round of 16,2.0,4.0,1.0,5,5
1986,Mexico,Togo,Did not qualify,0.0,0.0,0.0,0,0
1990,Italy,Togo,Did not qualify,0.0,0.0,0.0,0,0
1994,USA,Togo,Did not qualify,0.0,0.0,0.0,0,0
1998,France,Togo,Did not qualify,0.0,0.0,0.0,0,0
2002,Korea/Japan,Togo,Did not qualify,0.0,0.0,0.0,0,0
2006,Germany,Togo,Group stage,1.0,3.0,0.0,1,6
2010,South Africa,Togo,Did not qualify,0.0,0.0,0.0,0,0
2014,Brazil,Togo,Did not qualify,0.0,0.0,0.0,0,0
2018,Russia,Togo,Did not qualify,0.0,0.0,0.0,0,0
1986,Mexico,Trinidad and Tobago,Did not qualify,0.0,0.0,0.0,0,0
1990,Italy,Trinidad and Tobago,Did not qualify,0.0,0.0,0.0,0,0
1994,USA,Trinidad and Tobago,Did not qualify,0.0,0.0,0.0,0,0
1998,France,Trinidad and Tobago,Did not qualify,0.0,0.0,0.0,0,0
2002,Korea/Japan,Trinidad and Tobago,Did not qualify,0.0,0.0,0.0,0,0
2006,Germany,Trinidad and Tobago,Group stage,1.0,3.0,0.0,0,4
2010,South Africa,Trinidad and Tobago,Did not qualify,0.0,0.0,0.0,0,0
2014,Brazil,Trinidad and Tobago,Did not qualify,0.0,0.0,0.0,0,0
2018,Russia,Trinidad and Tobago,Did not qualify,0.0,0.0,0.0,0,0
1986,Mexico,Tunisia,Did not qualify,0.0,0.0,0.0,0,0
1990,Italy,Tunisia,Did not qualify,0.0,0.0,0.0,0,0
1994,USA,Tunisia,Did not qualify,0.0,0.0,0.0,0,0
1998,France,Tunisia,Group stage,1.0,3.0,0.0,1,4
2002,Korea/Japan,Tunisia,Group stage,1.0,3.0,0.0,1,5
2006,Germany,Tunisia,Group stage,1.0,3.0,0.0,3,6
2010,South Africa,Tunisia,Did not qualify,0.0,0.0,0.0,0,0
2014,Brazil,Tunisia,Did not qualify,0.0,0.0,0.0,0,0
2018,Russia,Tunisia,Group stage,1.0,3.0,1.0,5,8
1986,Mexico,Turkey,Did not qualify,0.0,0.0,0.0,0,0
1990,Italy,Turkey,Did not qualify,0.0,0.0,0.0,0,0
1994,USA,Turkey,Did not qualify,0.0,0.0,0.0,0,0
1998,France,Turkey,Did not qualify,0.0,0.0,0.0,0,0
2002,Korea/Japan,Turkey,Third place,5.0,7.0,4.0,10,6
2006,Germany,Turkey,Did not qualify,0.0,0.0,0.0,0,0
2010,South Africa,Turkey,Did not qualify,0.0,0.0,0.0,0,0
2014,Brazil,Turkey,Did not qualify,0.0,0.0,0.0,0,0
2018,Russia,Turkey,Did not qualify,0.0,0.0,0.0,0,0
1986,Mexico,Ukraine,Did not qualify,0.0,0.0,0.0,0,0
1990,Italy,Ukraine,Did not qualify,0.0,0.0,0.0,0,0
1994,USA,Ukraine,Did not qualify,0.0,0.0,0.0,0,0
1998,France,Ukraine,Did not qualify,0.0,0.0,0.0,0,0
2002,Korea/Japan,Ukraine,Did not qualify,0.0,0.0,0.0,0,0
2006,Germany,Ukraine,Quarter-finals,3.0,5.0,3.0,5,7
2010,South Africa,Ukraine,Did not qualify,0.0,0.0,0.0,0,0
2014,Brazil,Ukraine,Did not qualify,0.0,0.0,0.0,0,0
2018,Russia,Ukraine,Did not qualify,0.0,0.0,0.0,0,0
1986,Mexico,United Arab Emirates,Did not qualify,0.0,0.0,0.0,0,0
1990,Italy,United Arab Emirates,Group stage,1.0,3.0,0.0,2,11
1994,USA,United Arab Emirates,Did not qualify,0.0,0.0,0.0,0,0
1998,France,United Arab Emirates,Did not qualify,0.0,0.0,0.0,0,0
2002,Korea/Japan,United Arab Emirates,Did not qualify,0.0,0.0,0.0,0,0
2006,Germany,United Arab Emirates,Did not qualify,0.0,0.0,0.0,0,0
2010,South Africa,United Arab Emirates,Did not qualify,0.0,0.0,0.0,0,0
2014,Brazil,United Arab Emirates,Did not qualify,0.0,0.0,0.0,0,0
2018,Russia,United Arab Emirates,Did not qualify,0.0,0.0,0.0,0,0
1986,Mexico,United States,Did not qualify,0.0,0.0,0.0,0,0
1990,Italy,United States,Group stage,1.0,3.0,0.0,2,8
1994,USA,United States,Round of 16,2.0,4.0,1.0,3,4
1998,France,United States,Group stage,1.0,3.0,0.0,1,5
2002,Korea/Japan,United States,Quarter-finals,3.0,5.0,2.0,7,7
2006,Germany,United States,Group stage,1.0,3.0,0.0,2,6
2010,South Africa,United States,Round of 16,2.0,4.0,1.0,5,5
2014,Brazil,United States,Round of 16,2.0,4.0,1.0,5,6
2018,Russia,United States,Did not qualify,0.0,0.0,0.0,0,0
1986,Mexico,Uruguay,Round of 16,2.0,4.0,0.0,2,8
1990,Italy,Uruguay,Round of 16,2.0,4.0,1.0,2,5
1994,USA,Uruguay,Did not qualify,0.0,0.0,0.0,0,0
1998,France,Uruguay,Did not qualify,0.0,0.0,0.0,0,0
2002,Korea/Japan,Uruguay,Group stage,1.0,3.0,0.0,4,5
2006,Germany,Uruguay,Did not qualify,0.0,0.0,0.0,0,0
2010,South Africa,Uruguay,Fourth place,4.0,7.0,4.0,11,8
2014,Brazil,Uruguay,Round of 16,2.0,4.0,2.0,4,6
2018,Russia,Uruguay,Quarter-finals,3.0,5.0,4.0,7,3
1986,Mexico,Yugoslavia,Did not qualify,0.0,0.0,0.0,0,0
1990,Italy,Yugoslavia,Quarter-finals,3.0,5.0,3.0,8,6
1994,USA,Yugoslavia,Did not qualify,0.0,0.0,0.0,0,0
1998,France,Yugoslavia,Round of 16,2.0,4.0,2.0,5,4
2002,Korea/Japan,Yugoslavia,Did not qualify,0.0,0.0,0.0,0,0
2006,Germany,Yugoslavia,Did not qualify,0.0,0.0,0.0,0,0
2010,South Africa,Yugoslavia,Did not qualify,0.0,0.0,0.0,0,0
2014,Brazil,Yugoslavia,Did not qualify,0.0,0.0,0.0,0,0
2018,Russia,Yugoslavia,Did not qualify,0.0,0.0,0.0,0,0
